image_idx,rgb_file,depth_file,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
0,1305031453.359684.png,1305031453.374112.png,0.593229,0.594866,0.870777,1.274307,0.248220,0.429058,0.573383
1,1305031453.391690.png,1305031453.404816.png,0.588156,0.591900,0.875973,1.285872,0.249567,0.431312,0.575518
2,1305031453.423683.png,1305031453.436941.png,0.605860,0.627854,0.902716,1.329081,0.240423,0.419860,0.562402
3,1305031453.459685.png,1305031453.473352.png,0.612683,0.651959,0.922007,1.311536,0.240344,0.420988,0.554733
4,1305031453.491698.png,1305031453.505218.png,0.567705,0.575084,0.884350,1.260352,0.252668,0.440098,0.590138
5,1305031453.523684.png,1305031453.538301.png,0.570352,0.585366,0.901098,1.309138,0.245211,0.434089,0.587660
6,1305031453.559753.png,1305031453.574074.png,0.570105,0.592433,0.914769,1.257888,0.241696,0.433977,0.584972
7,1305031453.591640.png,1305031453.605314.png,0.589221,0.632223,0.948219,1.270902,0.226415,0.414838,0.567762
8,1305031453.627706.png,1305031453.636951.png,0.616753,0.688000,0.988981,1.205565,0.211673,0.389159,0.538018
9,1305031453.659600.png,1305031453.673185.png,0.628195,0.721550,1.017791,1.295701,0.202025,0.378791,0.534198
10,1305031453.691678.png,1305031453.705487.png,0.639353,0.756354,1.047910,1.276484,0.197606,0.371299,0.526264
11,1305031453.727652.png,1305031453.736856.png,0.622260,0.725150,1.031959,1.078568,0.201116,0.376003,0.526342
12,1305031453.759694.png,1305031453.773786.png,0.650051,0.805028,1.092678,1.265724,0.195388,0.366237,0.518417
13,1305031453.791716.png,1305031453.805041.png,0.646555,0.794783,1.087643,1.115397,0.181211,0.356679,0.514491
14,1305031453.827773.png,1305031453.840352.png,0.661720,0.840300,1.115508,1.131306,0.184307,0.356133,0.510111
15,1305031453.859705.png,1305031453.869618.png,0.646919,0.805694,1.095524,1.087428,0.191749,0.359770,0.510037
16,1305031453.891710.png,1305031453.905519.png,0.572532,0.636146,0.987733,0.854665,0.215882,0.403209,0.562128
17,1305031453.927723.png,1305031453.940012.png,0.580179,0.661905,1.016314,0.948268,0.228989,0.393733,0.547605
18,1305031453.959641.png,1305031453.972592.png,0.579601,0.664946,1.033648,1.002104,0.237598,0.391701,0.556007
19,1305031453.991624.png,1305031454.003179.png,0.575129,0.654722,1.037607,1.043006,0.238865,0.404151,0.551583
20,1305031454.027662.png,1305031454.040976.png,0.579717,0.669085,1.056370,1.072596,0.245153,0.412590,0.547559
21,1305031454.059654.png,1305031454.072690.png,0.562638,0.636024,1.049005,1.104031,0.242283,0.423260,0.585551
22,1305031454.091651.png,1305031454.104619.png,0.520952,0.566369,1.011320,1.071206,0.269067,0.469298,0.631715
23,1305031454.127701.png,1305031454.141030.png,0.540243,0.613218,1.052825,1.143196,0.266564,0.462649,0.627255
24,1305031454.159672.png,1305031454.172688.png,0.477251,0.520470,1.014336,1.144850,0.301847,0.530479,0.719163
25,1305031454.191658.png,1305031454.204626.png,0.484985,0.537735,1.034155,1.160412,0.290230,0.534282,0.735707
26,1305031454.227671.png,1305031454.240858.png,0.466470,0.519562,1.031566,1.165746,0.312432,0.563099,0.761934
27,1305031454.259627.png,1305031454.273489.png,0.447925,0.516278,1.067427,1.205693,0.321196,0.587110,0.769444
28,1305031454.291639.png,1305031454.304744.png,0.445308,0.516259,1.073248,1.228616,0.326281,0.599654,0.777777
29,1305031454.327699.png,1305031454.340806.png,0.452068,0.526690,1.076346,1.283959,0.319478,0.592008,0.766239
30,1305031454.359636.png,1305031454.372652.png,0.468215,0.572722,1.137606,1.364264,0.308141,0.559534,0.738841
31,1305031454.391677.png,1305031454.401962.png,0.481355,0.600253,1.175949,1.326273,0.289114,0.548370,0.734790
32,1305031454.427465.png,1305031454.437248.png,0.517069,0.666944,1.228411,1.439942,0.269827,0.501897,0.708388
33,1305031454.459913.png,1305031454.470741.png,0.510605,0.677861,1.258614,1.518976,0.267468,0.517057,0.704198
34,1305031454.491617.png,1305031454.503859.png,0.519401,0.688031,1.261312,1.578533,0.262988,0.507170,0.699090
35,1305031454.527700.png,1305031454.538424.png,0.515463,0.667333,1.240179,1.481032,0.244357,0.512032,0.699217
36,1305031454.559575.png,1305031454.570323.png,0.510880,0.636788,1.201898,1.462251,0.239507,0.505921,0.716587
37,1305031454.591635.png,1305031454.602019.png,0.517358,0.624015,1.172238,1.425115,0.209874,0.490721,0.715453
38,1305031454.627580.png,1305031454.639284.png,0.522647,0.629275,1.173018,1.546325,0.216351,0.484755,0.714468
39,1305031454.659528.png,1305031454.669573.png,0.502196,0.585201,1.132142,1.427776,0.217131,0.500361,0.740335
40,1305031454.691884.png,1305031454.702030.png,0.497341,0.559086,1.091343,1.492946,0.209959,0.502877,0.746875
41,1305031454.727659.png,1305031454.740764.png,0.485869,0.547722,1.084674,1.450026,0.226064,0.514878,0.744150
42,1305031454.759732.png,1305031454.772865.png,0.475184,0.526953,1.063517,1.437006,0.236852,0.527127,0.748804
43,1305031454.791641.png,1305031454.802574.png,0.465103,0.519241,1.063186,1.476004,0.246350,0.540061,0.752035
44,1305031454.827570.png,1305031454.840500.png,0.458138,0.512676,1.057523,1.468056,0.263144,0.545523,0.750348
45,1305031454.859620.png,1305031454.870269.png,0.454300,0.498792,1.033404,1.446256,0.266266,0.545578,0.745033
46,1305031454.891764.png,1305031454.901065.png,0.443405,0.467333,0.984633,1.385444,0.283570,0.558408,0.753611
47,1305031454.927567.png,1305031454.940240.png,0.433865,0.443802,0.950387,1.363124,0.302318,0.563784,0.754766
48,1305031454.959648.png,1305031454.973081.png,0.425669,0.417702,0.910553,1.227638,0.309700,0.577040,0.763846
49,1305031454.991937.png,1305031455.010759.png,0.411764,0.394741,0.883394,1.207984,0.326391,0.597893,0.777614
50,1305031455.027799.png,1305031455.040446.png,0.418721,0.398852,0.881386,1.244400,0.323465,0.588701,0.775210
51,1305031455.059636.png,1305031455.074282.png,0.423738,0.397471,0.871931,1.203346,0.320141,0.577737,0.770764
52,1305031455.091700.png,1305031455.074282.png,0.423242,0.397375,0.871661,1.189392,0.322549,0.579466,0.769361
53,1305031455.127695.png,1305031455.142700.png,0.428847,0.397728,0.862580,1.188346,0.319544,0.569152,0.762948
54,1305031455.159720.png,1305031455.172771.png,0.434406,0.394280,0.846949,1.084874,0.317119,0.563284,0.758737
55,1305031455.191655.png,1305031455.210307.png,0.434473,0.387086,0.832622,1.101771,0.312515,0.561774,0.761253
56,1305031455.227581.png,1305031455.240960.png,0.432965,0.382459,0.825238,1.089573,0.318146,0.563597,0.763336
57,1305031455.259631.png,1305031455.273001.png,0.450467,0.395993,0.825850,1.088432,0.300061,0.540178,0.728613
58,1305031455.291831.png,1305031455.310303.png,0.447980,0.378538,0.794163,1.051508,0.295567,0.541946,0.732588
